Lake,Date,Year,Month,Species,Harvest
High Lake,9/12/2016,2016,9,BMB,3000
High Lake,9/12/2016,2016,9,FWD,0
High Lake,9/12/2016,2016,9,CAP,21000
High Lake,9/14/2016,2016,9,BMB,3000
High Lake,9/14/2016,2016,9,FWD,0
High Lake,9/14/2016,2016,9,CAP,21000
West Swan Lake,9/18/2016,2016,9,BMB,15290
West Swan Lake,9/18/2016,2016,9,FWD,0
West Swan Lake,9/18/2016,2016,9,CAP,5700
West Swan Lake,10/1/2016,2016,10,BMB,3400
West Swan Lake,10/1/2016,2016,10,FWD,0
West Swan Lake,10/1/2016,2016,10,CAP,4000
West Swan Lake,10/2/2016,2016,10,BMB,13285
West Swan Lake,10/2/2016,2016,10,FWD,0
West Swan Lake,10/2/2016,2016,10,CAP,2053
Ingham Lake,10/16/2016,2016,10,BMB,12360
Ingham Lake,10/16/2016,2016,10,FWD,0
Ingham Lake,10/16/2016,2016,10,CAP,685
Ingham Lake,10/17/2016,2016,10,BMB,6750
Ingham Lake,10/17/2016,2016,10,FWD,0
Ingham Lake,10/17/2016,2016,10,CAP,800
West Swan Lake,10/19/2016,2016,10,BMB,9160
West Swan Lake,10/19/2016,2016,10,FWD,0
West Swan Lake,10/19/2016,2016,10,CAP,510
West Swan Lake,10/20/2016,2016,10,BMB,4900
West Swan Lake,10/20/2016,2016,10,FWD,0
West Swan Lake,10/20/2016,2016,10,CAP,475
Elk lake,10/29/2016,2016,10,BMB,5675
Elk lake,10/29/2016,2016,10,FWD,0
Elk lake,10/29/2016,2016,10,CAP,650
Elk lake,10/30/2016,2016,10,BMB,2410
Elk lake,10/30/2016,2016,10,FWD,4
Elk lake,10/30/2016,2016,10,CAP,260
Ingham Lake,10/31/2016,2016,10,BMB,2175
Ingham Lake,10/31/2016,2016,10,FWD,0
Ingham Lake,10/31/2016,2016,10,CAP,1050
Ingham Lake,11/1/2016,2016,11,BMB,18140
Ingham Lake,11/1/2016,2016,11,FWD,0
Ingham Lake,11/1/2016,2016,11,CAP,169
Lost Island Lake,11/12/2016,2016,11,BMB,11
Lost Island Lake,11/12/2016,2016,11,FWD,12
Lost Island Lake,11/12/2016,2016,11,CAP,21
Lost Island Lake,11/13/2016,2016,11,BMB,337
Lost Island Lake,11/13/2016,2016,11,FWD,218
Lost Island Lake,11/13/2016,2016,11,CAP,404
Lost Island Lake,11/14/2016,2016,11,BMB,300
Lost Island Lake,11/14/2016,2016,11,FWD,65
Lost Island Lake,11/14/2016,2016,11,CAP,625
Ingham Lake,4/25/2017,2017,4,BMB,600
Ingham Lake,4/25/2017,2017,4,FWD,0
Ingham Lake,4/25/2017,2017,4,CAP,850
Center Lake,4/26/2017,2017,4,BMB,14200
Center Lake,4/26/2017,2017,4,FWD,200
Center Lake,4/26/2017,2017,4,CAP,1300
Center Lake,4/27/2017,2017,4,BMB,6200
Center Lake,4/27/2017,2017,4,FWD,100
Center Lake,4/27/2017,2017,4,CAP,4400
Five Island Lake,5/2/2017,2017,5,BMB,7400
Five Island Lake,5/2/2017,2017,5,FWD,0
Five Island Lake,5/2/2017,2017,5,CAP,2200
Lost Island Lake,5/7/2017,2017,5,BMB,10900
Lost Island Lake,5/7/2017,2017,5,FWD,2000
Lost Island Lake,5/7/2017,2017,5,CAP,9600
Ingham Lake,5/8/2017,2017,5,BMB,2200
Ingham Lake,5/8/2017,2017,5,FWD,0
Ingham Lake,5/8/2017,2017,5,CAP,2500
Lost Island Lake,5/9/2017,2017,5,BMB,3900
Five Island Lake,5/9/2017,2017,5,BMB,21300
Lost Island Lake,5/9/2017,2017,5,FWD,950
Five Island Lake,5/9/2017,2017,5,FWD,0
Lost Island Lake,5/9/2017,2017,5,CAP,1700
Five Island Lake,5/9/2017,2017,5,CAP,10100
Spirit Lake,5/10/2017,2017,5,BMB,1300
Spirit Lake,5/10/2017,2017,5,FWD,100
Spirit Lake,5/10/2017,2017,5,CAP,2200
Five Island Lake,5/11/2017,2017,5,BMB,10200
Five Island Lake,5/11/2017,2017,5,FWD,0
Five Island Lake,5/11/2017,2017,5,CAP,14700
Five Island Lake,5/12/2017,2017,5,BMB,5300
Five Island Lake,5/12/2017,2017,5,FWD,0
Five Island Lake,5/12/2017,2017,5,CAP,11800
Spirit Lake,5/17/2017,2017,5,BMB,1100
Center Lake,5/17/2017,2017,5,BMB,10700
Spirit Lake,5/17/2017,2017,5,FWD,150
Center Lake,5/17/2017,2017,5,FWD,50
Spirit Lake,5/17/2017,2017,5,CAP,2600
Center Lake,5/17/2017,2017,5,CAP,3700
West Swan Lake,9/30/2017,2017,9,BMB,2500
West Swan Lake,9/30/2017,2017,9,FWD,0
West Swan Lake,9/30/2017,2017,9,CAP,800
West Swan Lake,10/1/2017,2017,10,BMB,3900
West Swan Lake,10/1/2017,2017,10,FWD,0
West Swan Lake,10/1/2017,2017,10,CAP,900
West Swan Lake,10/2/2017,2017,10,BMB,7500
West Swan Lake,10/2/2017,2017,10,FWD,0
West Swan Lake,10/2/2017,2017,10,CAP,1008
Elk lake,10/28/2017,2017,10,BMB,12719
Elk lake,10/28/2017,2017,10,FWD,70
Elk lake,10/28/2017,2017,10,CAP,3200
Elk lake,10/29/2017,2017,10,BMB,1928
Elk lake,10/29/2017,2017,10,FWD,10
Elk lake,10/29/2017,2017,10,CAP,3682
Lost Island Lake,11/4/2017,2017,11,BMB,12794
Lost Island Lake,11/4/2017,2017,11,FWD,3598
Lost Island Lake,11/4/2017,2017,11,CAP,240
Lost Island Lake,11/5/2017,2017,11,BMB,36
Lost Island Lake,11/5/2017,2017,11,FWD,15
Lost Island Lake,11/5/2017,2017,11,CAP,10
Lost Island Lake,5/6/2018,2018,5,BMB,15215
Lost Island Lake,5/6/2018,2018,5,FWD,830
Lost Island Lake,5/6/2018,2018,5,CAP,3850
Tuttle Lake,9/23/2018,2018,9,BMB,1665
Tuttle Lake,9/23/2018,2018,9,FWD,0
Tuttle Lake,9/23/2018,2018,9,CAP,1830
Tuttle Lake,9/26/2018,2018,9,BMB,4650
Tuttle Lake,9/26/2018,2018,9,FWD,0
Tuttle Lake,9/26/2018,2018,9,CAP,0
Iowa Lake,9/24/2018,2018,9,BMB,21030
Iowa Lake,9/24/2018,2018,9,FWD,0
Iowa Lake,9/24/2018,2018,9,CAP,3670
West Swan Lake,9/9/2018,2018,9,BMB,2650
West Swan Lake,9/9/2018,2018,9,FWD,0
West Swan Lake,9/9/2018,2018,9,CAP,1050
West Swan Lake,9/10/2018,2018,9,BMB,11750
West Swan Lake,9/10/2018,2018,9,FWD,0
West Swan Lake,9/10/2018,2018,9,CAP,400
High Lake,10/6/2018,2018,10,BMB,24700
High Lake,10/6/2018,2018,10,FWD,0
High Lake,10/6/2018,2018,10,CAP,2300
High Lake,10/10/2018,2018,10,BMB,400
High Lake,10/10/2018,2018,10,FWD,0
High Lake,10/10/2018,2018,10,CAP,2590
Iowa Lake,10/12/2018,2018,10,BMB,9570
Iowa Lake,10/12/2018,2018,10,FWD,0
Iowa Lake,10/12/2018,2018,10,CAP,2985
Iowa Lake,10/13/2018,2018,10,BMB,42280
Iowa Lake,10/13/2018,2018,10,FWD,0
Iowa Lake,10/13/2018,2018,10,CAP,1215
High Lake,10/24/2018,2018,10,BMB,6462
High Lake,10/24/2018,2018,10,FWD,0
High Lake,10/24/2018,2018,10,CAP,1040
Elk lake,11/1/2018,2018,11,BMB,7740
Elk lake,11/1/2018,2018,11,FWD,467
Elk lake,11/1/2018,2018,11,CAP,2945
Silver Lake (Palo Alto),10/29/2018,2018,10,BMB,10295
Silver Lake (Palo Alto),10/29/2018,2018,10,FWD,0
Silver Lake (Palo Alto),10/29/2018,2018,10,CAP,9496
Silver Lake (Palo Alto),10/30/2018,2018,10,BMB,190
Silver Lake (Palo Alto),10/30/2018,2018,10,FWD,0
Silver Lake (Palo Alto),10/30/2018,2018,10,CAP,10
Tuttle Lake,10/23/2018,2018,10,BMB,1100
Tuttle Lake,10/23/2018,2018,10,FWD,0
Tuttle Lake,10/23/2018,2018,10,CAP,19600
Silver Lake (Dickinson),10/22/2018,2018,10,BMB,61700
Silver Lake (Dickinson),10/22/2018,2018,10,FWD,3800
Silver Lake (Dickinson),10/22/2018,2018,10,CAP,9200
Ingham Lake,9/25/2018,2018,9,BMB,7100
Ingham Lake,9/25/2018,2018,9,FWD,0
Ingham Lake,9/25/2018,2018,9,CAP,8500
Ingham Lake,9/27/2018,2018,9,BMB,50
Ingham Lake,9/27/2018,2018,9,FWD,0
Ingham Lake,9/27/2018,2018,9,CAP,100
Ingham Lake,10/1/2018,2018,10,BMB,0
Ingham Lake,10/1/2018,2018,10,FWD,0
Ingham Lake,10/1/2018,2018,10,CAP,0
Ingham Lake,10/2/2018,2018,10,BMB,2700
Ingham Lake,10/2/2018,2018,10,FWD,0
Ingham Lake,10/2/2018,2018,10,CAP,3200
Ingham Lake,10/3/2018,2018,10,BMB,1600
Ingham Lake,10/3/2018,2018,10,FWD,0
Ingham Lake,10/3/2018,2018,10,CAP,3800
Ingham Lake,10/4/2018,2018,10,BMB,2900
Ingham Lake,10/4/2018,2018,10,FWD,0
Ingham Lake,10/4/2018,2018,10,CAP,3400
Five Island Lake,10/8/2018,2018,10,BMB,100
Five Island Lake,10/8/2018,2018,10,FWD,0
Five Island Lake,10/8/2018,2018,10,CAP,100
Five Island Lake,10/9/2018,2018,10,BMB,2000
Five Island Lake,10/9/2018,2018,10,FWD,0
Five Island Lake,10/9/2018,2018,10,CAP,3000
East Okoboji Lake,5/23/2018,2018,5,BMB,1100
East Okoboji Lake,5/23/2018,2018,5,FWD,50
East Okoboji Lake,5/23/2018,2018,5,CAP,2200
Five Island Lake,5/29/2018,2018,5,BMB,185
Five Island Lake,5/29/2018,2018,5,FWD,0
Five Island Lake,5/29/2018,2018,5,CAP,1934
Five Island Lake,5/15/2018,2018,5,BMB,11355
Five Island Lake,5/15/2018,2018,5,FWD,0
Five Island Lake,5/15/2018,2018,5,CAP,9779
Five Island Lake,5/21/2018,2018,5,BMB,3300
Five Island Lake,5/21/2018,2018,5,FWD,0
Five Island Lake,5/21/2018,2018,5,CAP,1100
Spirit Lake,5/2/2018,2018,5,BMB,12350
Spirit Lake,5/2/2018,2018,5,FWD,3900
Spirit Lake,5/2/2018,2018,5,CAP,8800
Spirit Lake,5/8/2018,2018,5,BMB,6000
Spirit Lake,5/8/2018,2018,5,FWD,4200
Spirit Lake,5/8/2018,2018,5,CAP,11000
Center Lake,6/4/2018,2018,6,BMB,893
Center Lake,6/4/2018,2018,6,FWD,0
Center Lake,6/4/2018,2018,6,CAP,141
Center Lake,5/9/2018,2018,5,BMB,2200
Center Lake,5/9/2018,2018,5,FWD,300
Center Lake,5/9/2018,2018,5,CAP,2043
Center Lake,1/7/2018,2018,1,BMB,7000
Center Lake,1/7/2018,2018,1,FWD,0
Center Lake,1/7/2018,2018,1,CAP,1100
Center Lake,3/19/2018,2018,3,BMB,33400
Center Lake,3/19/2018,2018,3,FWD,0
Center Lake,3/19/2018,2018,3,CAP,1200
Ingham Lake,5/22/2018,2018,5,BMB,4300
Ingham Lake,5/22/2018,2018,5,FWD,0
Ingham Lake,5/22/2018,2018,5,CAP,11200
Ingham Lake,5/30/2018,2018,5,BMB,3800
Ingham Lake,5/30/2018,2018,5,FWD,0
Ingham Lake,5/30/2018,2018,5,CAP,18200
Ingham Lake,6/3/2018,2018,6,BMB,7200
Ingham Lake,6/3/2018,2018,6,FWD,0
Ingham Lake,6/3/2018,2018,6,CAP,12650
