Lake,Date,Year,Month,Species,Pounds
East Okoboji Lake,No Date,,,BMB,875
West Okoboji Lake,No Date,,,BMB,7
West Okoboji Lake,No Date,,,BMB,400
West Okoboji Lake,No Date,,,BMB,750
Silver Lake (Dickinson),No Date,,,BMB,0
Silver Lake (Dickinson),No Date,,,BMB,0
Silver Lake (Dickinson),No Date,,,BMB,0
Spirit Lake,No Date,,,BMB,0
Spirit Lake,No Date,,,BMB,78125
Spirit Lake,No Date,,,BMB,17000
Spirit Lake,No Date,,,BMB,40
Spirit Lake,No Date,,,BMB,150
Spirit Lake,No Date,,,BMB,150
Spirit Lake,No Date,,,BMB,500
Spirit Lake,No Date,,,BMB,625
Lost Island lake,No Date,,,BMB,125
Lost Island lake,No Date,,,BMB,0
Lost Island lake,No Date,,,BMB,10
Lost Island lake,No Date,,,BMB,60
Lost Island lake,No Date,,,BMB,350
East Okoboji Lake,No Date,,,BMB,0
East Okoboji Lake,No Date,,,BMB,0
East Okoboji Lake,No Date,,,BMB,5
East Okoboji Lake,No Date,,,BMB,0
East Okoboji Lake,No Date,,,BMB,1875
East Okoboji Lake,No Date,,,BMB,0
East Okoboji Lake,No Date,,,BMB,3750
East Okoboji Lake,No Date,,,BMB,5375
East Okoboji Lake,No Date,,,BMB,1375
East Okoboji Lake,No Date,,,BMB,1650
East Okoboji Lake,No Date,,,BMB,750
East Okoboji Lake,No Date,,,BMB,250
East Okoboji Lake,No Date,,,BMB,0
East Okoboji Lake,No Date,,,BMB,3375
East Okoboji Lake,No Date,,,BMB,625
East Okoboji Lake,No Date,,,BMB,375
East Okoboji Lake,No Date,,,BMB,12140
East Okoboji Lake,No Date,,,BMB,250
East Okoboji Lake,No Date,,,BMB,1250
East Okoboji Lake,No Date,,,BMB,58
East Okoboji Lake,No Date,,,BMB,21875
East Okoboji Lake,No Date,,,BMB,13625
East Okoboji Lake,No Date,,,BMB,3750
East Okoboji Lake,No Date,,,BMB,2500
East Okoboji Lake,No Date,,,BMB,50
East Okoboji Lake,No Date,,,BMB,375
East Okoboji Lake,No Date,,,BMB,375
East Okoboji Lake,No Date,,,BMB,1625
East Okoboji Lake,No Date,,,BMB,625
Silver Lake (Palo Alto),No Date,,,BMB,32800
West Okoboji Lake,No Date,,,FWD,0
Five Island Lake,No Date,,,FWD,0
Spirit Lake,No Date,,,FWD,0
Spirit Lake,No Date,,,FWD,15
,No Date,,,FWD,500
Lost Island Lake,No Date,,,FWD,0
Lost Island Lake,No Date,,,FWD,0
Lost Island Lake,No Date,,,FWD,0
Lost Island Lake,No Date,,,FWD,0
Lost Island Lake,No Date,,,FWD,0
Lost Island Lake,No Date,,,FWD,0
East Okoboji Lake,No Date,,,FWD,7250
East Okoboji Lake,No Date,,,FWD,0
East Okoboji Lake,No Date,,,FWD,127
East Okoboji Lake,No Date,,,FWD,335
,No Date,,,FWD,0
,No Date,,,FWD,0
Spirit Lake,No Date,,,FWD,0
Spirit Lake,No Date,,,FWD,0
West Okoboji Lake,No Date,,,FWD,0
West Okoboji Lake,No Date,,,FWD,25
West Okoboji Lake,No Date,,,FWD,4750
West Okoboji Lake,No Date,,,FWD,375
West Okoboji Lake,No Date,,,FWD,375
West Okoboji Lake,No Date,,,FWD,250
West Okoboji Lake,No Date,,,FWD,0
West Okoboji Lake,No Date,,,FWD,175
West Okoboji Lake,No Date,,,FWD,0
West Okoboji Lake,No Date,,,FWD,75
West Okoboji Lake,No Date,,,FWD,75
West Okoboji Lake,No Date,,,FWD,1
West Okoboji Lake,No Date,,,FWD,0
West Okoboji Lake,No Date,,,FWD,7500
West Okoboji Lake,No Date,,,FWD,3750
West Okoboji Lake,No Date,,,FWD,7625
West Okoboji Lake,No Date,,,FWD,1000
West Okoboji Lake,No Date,,,FWD,150
West Okoboji Lake,No Date,,,FWD,850
West Okoboji Lake,No Date,,,FWD,450
West Okoboji Lake,No Date,,,FWD,250
East Okoboji Lake,No Date,,,FWD,250
East Okoboji Lake,No Date,,,FWD,50
East Okoboji Lake,No Date,,,FWD,2000
East Okoboji Lake,No Date,,,FWD,50
East Okoboji Lake,No Date,,,FWD,1125
East Okoboji Lake,No Date,,,FWD,375
Spirit Lake,No Date,,,FWD,150
Spirit Lake,No Date,,,FWD,600
Spirit Lake,No Date,,,FWD,0
Spirit Lake,No Date,,,FWD,0
Spirit Lake,No Date,,,FWD,0
Spirit Lake,No Date,,,FWD,0
Spirit Lake,No Date,,,FWD,0
Spirit Lake,No Date,,,FWD,0
Spirit Lake,No Date,,,FWD,0
Spirit Lake,No Date,,,FWD,0
Spirit Lake,No Date,,,FWD,0
Spirit Lake,No Date,,,FWD,1500
Spirit Lake,No Date,,,FWD,6250
Spirit Lake,No Date,,,FWD,60
Spirit Lake,No Date,,,FWD,0
Spirit Lake,No Date,,,FWD,125
Spirit Lake,No Date,,,FWD,0
Spirit Lake,No Date,,,FWD,250
West Okoboji Lake,No Date,,,FWD,50
West Okoboji Lake,No Date,,,FWD,10
West Okoboji Lake,No Date,,,FWD,2875
West Okoboji Lake,No Date,,,FWD,0
West Okoboji Lake,No Date,,,FWD,0
West Okoboji Lake,No Date,,,FWD,0
West Okoboji Lake,No Date,,,FWD,975
West Okoboji Lake,No Date,,,FWD,0
West Okoboji Lake,No Date,,,FWD,3000
West Okoboji Lake,No Date,,,FWD,1000
West Okoboji Lake,No Date,,,FWD,1125
Spirit Lake,No Date,,,FWD,0
Spirit Lake,No Date,,,FWD,75
East Okoboji Lake,No Date,,,FWD,0
East Okoboji Lake,No Date,,,FWD,750
East Okoboji Lake,No Date,,,FWD,125
East Okoboji Lake,No Date,,,FWD,250
East Okoboji Lake,No Date,,,FWD,0
East Okoboji Lake,No Date,,,FWD,18750
East Okoboji Lake,No Date,,,FWD,0
East Okoboji Lake,No Date,,,FWD,0
East Okoboji Lake,No Date,,,FWD,125
East Okoboji Lake,No Date,,,FWD,1875
East Okoboji Lake,No Date,,,FWD,750
East Okoboji Lake,No Date,,,FWD,1750
East Okoboji Lake,No Date,,,FWD,0
East Okoboji Lake,No Date,,,FWD,375
East Okoboji Lake,No Date,,,FWD,575
East Okoboji Lake,No Date,,,FWD,500
East Okoboji Lake,No Date,,,FWD,1125
East Okoboji Lake,No Date,,,FWD,875
East Okoboji Lake,No Date,,,FWD,500
East Okoboji Lake,No Date,,,FWD,625
East Okoboji Lake,No Date,,,FWD,2750
East Okoboji Lake,No Date,,,FWD,625
East Okoboji Lake,No Date,,,FWD,1125
East Okoboji Lake,No Date,,,FWD,0
East Okoboji Lake,No Date,,,FWD,2500
East Okoboji Lake,No Date,,,FWD,1375
East Okoboji Lake,No Date,,,FWD,1375
East Okoboji Lake,No Date,,,FWD,750
East Okoboji Lake,No Date,,,FWD,875
West Okoboji Lake,No Date,,,FWD,5
West Okoboji Lake,No Date,,,FWD,1500
West Okoboji Lake,No Date,,,FWD,2000
Silver Lake (Dickinson),No Date,,,FWD,0
Silver Lake (Dickinson),No Date,,,FWD,0
Silver Lake (Dickinson),No Date,,,FWD,0
Spirit Lake,No Date,,,FWD,2
Spirit Lake,No Date,,,FWD,0
Spirit Lake,No Date,,,FWD,0
Spirit Lake,No Date,,,FWD,0
Spirit Lake,No Date,,,FWD,0
Spirit Lake,No Date,,,FWD,0
Spirit Lake,No Date,,,FWD,0
Spirit Lake,No Date,,,FWD,0
Lost Island lake,No Date,,,FWD,0
Lost Island lake,No Date,,,FWD,1
Lost Island lake,No Date,,,FWD,0
Lost Island lake,No Date,,,FWD,0
Lost Island lake,No Date,,,FWD,900
East Okoboji Lake,No Date,,,FWD,250
East Okoboji Lake,No Date,,,FWD,1000
East Okoboji Lake,No Date,,,FWD,500
East Okoboji Lake,No Date,,,FWD,1250
East Okoboji Lake,No Date,,,FWD,0
East Okoboji Lake,No Date,,,FWD,875
East Okoboji Lake,No Date,,,FWD,30
East Okoboji Lake,No Date,,,FWD,250
East Okoboji Lake,No Date,,,FWD,275
East Okoboji Lake,No Date,,,FWD,120
East Okoboji Lake,No Date,,,FWD,625
East Okoboji Lake,No Date,,,FWD,250
East Okoboji Lake,No Date,,,FWD,2
East Okoboji Lake,No Date,,,FWD,100
East Okoboji Lake,No Date,,,FWD,250
East Okoboji Lake,No Date,,,FWD,125
East Okoboji Lake,No Date,,,FWD,1200
East Okoboji Lake,No Date,,,FWD,250
East Okoboji Lake,No Date,,,FWD,250
East Okoboji Lake,No Date,,,FWD,1637
East Okoboji Lake,No Date,,,FWD,625
East Okoboji Lake,No Date,,,FWD,950
East Okoboji Lake,No Date,,,FWD,1250
East Okoboji Lake,No Date,,,FWD,500
East Okoboji Lake,No Date,,,FWD,100
East Okoboji Lake,No Date,,,FWD,375
East Okoboji Lake,No Date,,,FWD,625
East Okoboji Lake,No Date,,,FWD,250
East Okoboji Lake,No Date,,,FWD,200
Silver Lake (Palo Alto),No Date,,,FWD,0
West Okoboji Lake,No Date,,,CAP,0
Five Island Lake,No Date,,,CAP,95070
Spirit Lake,No Date,,,CAP,42800
Spirit Lake,No Date,,,CAP,30
,No Date,,,CAP,1525
Lost Island Lake,No Date,,,CAP,500
Lost Island Lake,No Date,,,CAP,140000
Lost Island Lake,No Date,,,CAP,200
Lost Island Lake,No Date,,,CAP,300
Lost Island Lake,No Date,,,CAP,60
Lost Island Lake,No Date,,,CAP,60000
East Okoboji Lake,No Date,,,CAP,1525
East Okoboji Lake,No Date,,,CAP,6500
East Okoboji Lake,No Date,,,CAP,1500
East Okoboji Lake,No Date,,,CAP,480
,No Date,,,CAP,75
,No Date,,,CAP,0
Spirit Lake,No Date,,,CAP,75
Spirit Lake,No Date,,,CAP,0
West Okoboji Lake,No Date,,,CAP,0
West Okoboji Lake,No Date,,,CAP,2500
West Okoboji Lake,No Date,,,CAP,365
West Okoboji Lake,No Date,,,CAP,2500
West Okoboji Lake,No Date,,,CAP,950
West Okoboji Lake,No Date,,,CAP,25000
West Okoboji Lake,No Date,,,CAP,0
West Okoboji Lake,No Date,,,CAP,65000
West Okoboji Lake,No Date,,,CAP,0
West Okoboji Lake,No Date,,,CAP,175
West Okoboji Lake,No Date,,,CAP,10
West Okoboji Lake,No Date,,,CAP,24
West Okoboji Lake,No Date,,,CAP,0
West Okoboji Lake,No Date,,,CAP,1750
West Okoboji Lake,No Date,,,CAP,1250
West Okoboji Lake,No Date,,,CAP,300
West Okoboji Lake,No Date,,,CAP,325
West Okoboji Lake,No Date,,,CAP,175
West Okoboji Lake,No Date,,,CAP,450
West Okoboji Lake,No Date,,,CAP,145
West Okoboji Lake,No Date,,,CAP,375
East Okoboji Lake,No Date,,,CAP,5875
East Okoboji Lake,No Date,,,CAP,0
East Okoboji Lake,No Date,,,CAP,300
East Okoboji Lake,No Date,,,CAP,25
East Okoboji Lake,No Date,,,CAP,2125
East Okoboji Lake,No Date,,,CAP,625
Spirit Lake,No Date,,,CAP,150
Spirit Lake,No Date,,,CAP,37000
Spirit Lake,No Date,,,CAP,30
Spirit Lake,No Date,,,CAP,50
Spirit Lake,No Date,,,CAP,20
Spirit Lake,No Date,,,CAP,0
Spirit Lake,No Date,,,CAP,500
Spirit Lake,No Date,,,CAP,0
Spirit Lake,No Date,,,CAP,0
Spirit Lake,No Date,,,CAP,750
Spirit Lake,No Date,,,CAP,31250
Spirit Lake,No Date,,,CAP,1500
Spirit Lake,No Date,,,CAP,750
Spirit Lake,No Date,,,CAP,30
Spirit Lake,No Date,,,CAP,0
Spirit Lake,No Date,,,CAP,1000
Spirit Lake,No Date,,,CAP,375
Spirit Lake,No Date,,,CAP,250
West Okoboji Lake,No Date,,,CAP,40000
West Okoboji Lake,No Date,,,CAP,2375
West Okoboji Lake,No Date,,,CAP,22000
West Okoboji Lake,No Date,,,CAP,0
West Okoboji Lake,No Date,,,CAP,0
West Okoboji Lake,No Date,,,CAP,0
West Okoboji Lake,No Date,,,CAP,0
West Okoboji Lake,No Date,,,CAP,0
West Okoboji Lake,No Date,,,CAP,25
West Okoboji Lake,No Date,,,CAP,250
West Okoboji Lake,No Date,,,CAP,300
Spirit Lake,No Date,,,CAP,850
Spirit Lake,No Date,,,CAP,6000
East Okoboji Lake,No Date,,,CAP,3000
East Okoboji Lake,No Date,,,CAP,2500
East Okoboji Lake,No Date,,,CAP,3000
East Okoboji Lake,No Date,,,CAP,4625
East Okoboji Lake,No Date,,,CAP,6250
East Okoboji Lake,No Date,,,CAP,0
East Okoboji Lake,No Date,,,CAP,18750
East Okoboji Lake,No Date,,,CAP,1000
East Okoboji Lake,No Date,,,CAP,500
East Okoboji Lake,No Date,,,CAP,625
East Okoboji Lake,No Date,,,CAP,1025
East Okoboji Lake,No Date,,,CAP,375
East Okoboji Lake,No Date,,,CAP,50
East Okoboji Lake,No Date,,,CAP,1875
East Okoboji Lake,No Date,,,CAP,500
East Okoboji Lake,No Date,,,CAP,2625
East Okoboji Lake,No Date,,,CAP,4375
East Okoboji Lake,No Date,,,CAP,3750
East Okoboji Lake,No Date,,,CAP,2625
East Okoboji Lake,No Date,,,CAP,1000
East Okoboji Lake,No Date,,,CAP,23500
East Okoboji Lake,No Date,,,CAP,2625
East Okoboji Lake,No Date,,,CAP,2225
East Okoboji Lake,No Date,,,CAP,10125
East Okoboji Lake,No Date,,,CAP,250
East Okoboji Lake,No Date,,,CAP,5375
East Okoboji Lake,No Date,,,CAP,5625
East Okoboji Lake,No Date,,,CAP,1500
East Okoboji Lake,No Date,,,CAP,3750
West Okoboji Lake,No Date,,,CAP,15
West Okoboji Lake,No Date,,,CAP,1300
West Okoboji Lake,No Date,,,CAP,1250
Silver Lake (Dickinson),No Date,,,CAP,36
Silver Lake (Dickinson),No Date,,,CAP,0
Silver Lake (Dickinson),No Date,,,CAP,15
Spirit Lake,No Date,,,CAP,0
Spirit Lake,No Date,,,CAP,8500
Spirit Lake,No Date,,,CAP,11125
Spirit Lake,No Date,,,CAP,15
Spirit Lake,No Date,,,CAP,150
Spirit Lake,No Date,,,CAP,46
Spirit Lake,No Date,,,CAP,250
Spirit Lake,No Date,,,CAP,20
Lost Island lake,No Date,,,CAP,2500
Lost Island lake,No Date,,,CAP,4
Lost Island lake,No Date,,,CAP,50
Lost Island lake,No Date,,,CAP,350
Lost Island lake,No Date,,,CAP,150
East Okoboji Lake,No Date,,,CAP,875
East Okoboji Lake,No Date,,,CAP,4750
East Okoboji Lake,No Date,,,CAP,125
East Okoboji Lake,No Date,,,CAP,625
East Okoboji Lake,No Date,,,CAP,25000
East Okoboji Lake,No Date,,,CAP,0
East Okoboji Lake,No Date,,,CAP,100000
East Okoboji Lake,No Date,,,CAP,3750
East Okoboji Lake,No Date,,,CAP,2625
East Okoboji Lake,No Date,,,CAP,20500
East Okoboji Lake,No Date,,,CAP,375
East Okoboji Lake,No Date,,,CAP,750
East Okoboji Lake,No Date,,,CAP,0
East Okoboji Lake,No Date,,,CAP,4375
East Okoboji Lake,No Date,,,CAP,2000
East Okoboji Lake,No Date,,,CAP,250
East Okoboji Lake,No Date,,,CAP,2000
East Okoboji Lake,No Date,,,CAP,250
East Okoboji Lake,No Date,,,CAP,750
East Okoboji Lake,No Date,,,CAP,250
East Okoboji Lake,No Date,,,CAP,6750
East Okoboji Lake,No Date,,,CAP,9000
East Okoboji Lake,No Date,,,CAP,10500
East Okoboji Lake,No Date,,,CAP,750
East Okoboji Lake,No Date,,,CAP,1750
East Okoboji Lake,No Date,,,CAP,3375
East Okoboji Lake,No Date,,,CAP,3750
East Okoboji Lake,No Date,,,CAP,3000
East Okoboji Lake,No Date,,,CAP,3750
Silver Lake (Palo Alto),No Date,,,CAP,21980
Silver Lake (Dickinson),10/25/1983,1983,10,BMB,120
Silver Lake (Dickinson),10/25/1983,1983,10,FWD,0
Silver Lake (Dickinson),10/25/1983,1983,10,CAP,150
Silver Lake (Dickinson),10/27/1983,1983,10,BMB,1100
Silver Lake (Dickinson),10/27/1983,1983,10,FWD,0
Silver Lake (Dickinson),10/27/1983,1983,10,CAP,1800
Silver Lake (Dickinson),10/28/1983,1983,10,BMB,2010
Silver Lake (Dickinson),10/28/1983,1983,10,FWD,0
Silver Lake (Dickinson),10/28/1983,1983,10,CAP,1366
Silver Lake (Dickinson),10/29/1983,1983,10,BMB,674
Silver Lake (Dickinson),10/29/1983,1983,10,FWD,0
Silver Lake (Dickinson),10/29/1983,1983,10,CAP,3592
Silver Lake (Dickinson),10/30/1983,1983,10,BMB,8
Silver Lake (Dickinson),10/30/1983,1983,10,FWD,0
Silver Lake (Dickinson),10/30/1983,1983,10,CAP,40
Silver Lake (Dickinson),10/31/1983,1983,10,BMB,1726
Silver Lake (Dickinson),10/31/1983,1983,10,FWD,0
Silver Lake (Dickinson),10/31/1983,1983,10,CAP,665
Silver Lake (Dickinson),11/1/1983,1983,11,BMB,100
Silver Lake (Dickinson),11/1/1983,1983,11,FWD,0
Silver Lake (Dickinson),11/1/1983,1983,11,CAP,500
Silver Lake (Dickinson),11/2/1983,1983,11,BMB,750
Silver Lake (Dickinson),11/2/1983,1983,11,FWD,0
Silver Lake (Dickinson),11/2/1983,1983,11,CAP,5300
Silver Lake (Dickinson),11/4/1983,1983,11,BMB,680
Silver Lake (Dickinson),11/4/1983,1983,11,FWD,0
Silver Lake (Dickinson),11/4/1983,1983,11,CAP,1550
Silver Lake (Dickinson),11/5/1983,1983,11,BMB,200
Silver Lake (Dickinson),11/5/1983,1983,11,FWD,0
Silver Lake (Dickinson),11/5/1983,1983,11,CAP,650
Silver Lake (Dickinson),11/6/1983,1983,11,BMB,150
Silver Lake (Dickinson),11/6/1983,1983,11,FWD,0
Silver Lake (Dickinson),11/6/1983,1983,11,CAP,2120
Silver Lake (Dickinson),11/7/1983,1983,11,BMB,67
Silver Lake (Dickinson),11/7/1983,1983,11,FWD,0
Silver Lake (Dickinson),11/7/1983,1983,11,CAP,2979
Silver Lake (Dickinson),11/20/1983,1983,11,BMB,400
Silver Lake (Dickinson),11/20/1983,1983,11,FWD,0
Silver Lake (Dickinson),11/20/1983,1983,11,CAP,2000
Silver Lake (Dickinson),11/21/1983,1983,11,BMB,650
Silver Lake (Dickinson),11/21/1983,1983,11,FWD,0
Silver Lake (Dickinson),11/21/1983,1983,11,CAP,4450
Silver Lake (Dickinson),11/22/1983,1983,11,BMB,280
Silver Lake (Dickinson),11/22/1983,1983,11,FWD,0
Silver Lake (Dickinson),11/22/1983,1983,11,CAP,1850
Silver Lake (Dickinson),12/7/1983,1983,12,BMB,10
Silver Lake (Dickinson),12/7/1983,1983,12,FWD,0
Silver Lake (Dickinson),12/7/1983,1983,12,CAP,100
Silver Lake (Dickinson),12/8/1983,1983,12,BMB,0
Silver Lake (Dickinson),12/8/1983,1983,12,FWD,0
Silver Lake (Dickinson),12/8/1983,1983,12,CAP,50
Silver Lake (Dickinson),12/15/1983,1983,12,BMB,30
Silver Lake (Dickinson),12/15/1983,1983,12,FWD,0
Silver Lake (Dickinson),12/15/1983,1983,12,CAP,850
Silver Lake (Dickinson),12/16/1983,1983,12,BMB,0
Silver Lake (Dickinson),12/16/1983,1983,12,FWD,0
Silver Lake (Dickinson),12/16/1983,1983,12,CAP,230
Silver Lake (Dickinson),12/17/1983,1983,12,BMB,10
Silver Lake (Dickinson),12/17/1983,1983,12,FWD,0
Silver Lake (Dickinson),12/17/1983,1983,12,CAP,220
West Okoboji Lake,1/2/1984,1984,1,BMB,0
West Okoboji Lake,1/2/1984,1984,1,FWD,0
West Okoboji Lake,1/2/1984,1984,1,CAP,0
Silver Lake (Dickinson),1/25/1984,1984,1,BMB,0
Silver Lake (Dickinson),1/25/1984,1984,1,FWD,0
Silver Lake (Dickinson),1/25/1984,1984,1,CAP,68
Silver Lake (Dickinson),1/26/1984,1984,1,BMB,0
Silver Lake (Dickinson),1/26/1984,1984,1,FWD,0
Silver Lake (Dickinson),1/26/1984,1984,1,CAP,60
Silver Lake (Dickinson),1/27/1984,1984,1,BMB,0
Silver Lake (Dickinson),1/27/1984,1984,1,FWD,0
Silver Lake (Dickinson),1/27/1984,1984,1,CAP,50
Silver Lake (Dickinson),1/28/1984,1984,1,BMB,6
Silver Lake (Dickinson),1/28/1984,1984,1,FWD,0
Silver Lake (Dickinson),1/28/1984,1984,1,CAP,0
Silver Lake (Dickinson),1/29/1984,1984,1,BMB,16
West Okoboji Lake,1/29/1984,1984,1,BMB,0
Silver Lake (Dickinson),1/29/1984,1984,1,FWD,0
West Okoboji Lake,1/29/1984,1984,1,FWD,0
Silver Lake (Dickinson),1/29/1984,1984,1,CAP,0
West Okoboji Lake,1/29/1984,1984,1,CAP,0
West Okoboji Lake,2/3/1984,1984,2,BMB,0
West Okoboji Lake,2/3/1984,1984,2,FWD,500
West Okoboji Lake,2/3/1984,1984,2,CAP,375
West Okoboji Lake,2/9/1984,1984,2,BMB,140500
West Okoboji Lake,2/9/1984,1984,2,FWD,125
West Okoboji Lake,2/9/1984,1984,2,CAP,55500
East Okoboji Lake,2/15/1984,1984,2,BMB,56
East Okoboji Lake,2/15/1984,1984,2,FWD,11750
East Okoboji Lake,2/15/1984,1984,2,CAP,625
West Okoboji Lake,3/9/1984,1984,3,BMB,0
West Okoboji Lake,3/9/1984,1984,3,FWD,0
West Okoboji Lake,3/9/1984,1984,3,CAP,0
West Okoboji Lake,3/15/1984,1984,3,BMB,500
West Okoboji Lake,3/15/1984,1984,3,FWD,0
West Okoboji Lake,3/15/1984,1984,3,CAP,500
Minnewashta,3/23/1984,1984,3,BMB,128
Minnewashta,3/23/1984,1984,3,FWD,0
Minnewashta,3/23/1984,1984,3,CAP,6500
West Okoboji Lake,3/26/1984,1984,3,BMB,750
West Okoboji Lake,3/26/1984,1984,3,FWD,5
West Okoboji Lake,3/26/1984,1984,3,CAP,750
Lost Island Lake,10/2/1984,1984,10,BMB,125
Lost Island Lake,10/2/1984,1984,10,FWD,0
Lost Island Lake,10/2/1984,1984,10,CAP,990
Lost Island Lake,10/3/1984,1984,10,BMB,100
Lost Island Lake,10/3/1984,1984,10,FWD,0
Lost Island Lake,10/3/1984,1984,10,CAP,3500
Lost Island Lake,10/4/1984,1984,10,BMB,246
Lost Island Lake,10/4/1984,1984,10,FWD,0
Lost Island Lake,10/4/1984,1984,10,CAP,16760
Lost Island Lake,10/11/1984,1984,10,BMB,3300
Lost Island Lake,10/11/1984,1984,10,FWD,31
Lost Island Lake,10/11/1984,1984,10,CAP,11140
Lost Island Lake,10/31/1984,1984,10,BMB,1710
Lost Island Lake,10/31/1984,1984,10,FWD,75
Lost Island Lake,10/31/1984,1984,10,CAP,5040
Lost Island Lake,11/2/1984,1984,11,BMB,1390
Lost Island Lake,11/2/1984,1984,11,FWD,425
Lost Island Lake,11/2/1984,1984,11,CAP,60120
Lost Island Lake,11/13/1984,1984,11,BMB,400
Lost Island Lake,11/13/1984,1984,11,FWD,50
Lost Island Lake,11/13/1984,1984,11,CAP,14640
Lost Island Lake,11/14/1984,1984,11,BMB,270
Lost Island Lake,11/14/1984,1984,11,FWD,0
Lost Island Lake,11/14/1984,1984,11,CAP,3720
Lost Island Lake,11/16/1984,1984,11,BMB,960
Lost Island Lake,11/16/1984,1984,11,FWD,50
Lost Island Lake,11/16/1984,1984,11,CAP,21156
Lost Island Lake,11/24/1984,1984,11,BMB,77
