Sample Date,Sample DOY,Sample ID,Lake ID,Division,Genus,Zooplankton_Biomass_ug_Per_L,Flag,Sample Processed By,Sample Processed Date
5/16/2016,137,16003137001,3,Cladocera,Bosmina,0.520017198,,4/4/2018,Ashley Heins
5/16/2016,137,16003137001,3,Rotifera,Brachionus,0.280513821,,4/4/2018,Ashley Heins
5/16/2016,137,16003137001,3,Copepoda,Cyclopoida,29.02149591,,4/4/2018,Ashley Heins
5/16/2016,137,16003137001,3,Cladocera,Daphnia,91.82668089,,4/4/2018,Ashley Heins
5/16/2016,137,16003137001,3,Rotifera,Keratella.cochlearis,0.041147525,,4/4/2018,Ashley Heins
5/16/2016,137,16003137001,3,Copepoda,Nauplii,2.908678718,,4/4/2018,Ashley Heins
5/16/2016,137,16006137002,6,Rotifera,Brachionus,0.440058497,,2/19/2018,Katie Cope
5/16/2016,137,16006137002,6,Rotifera,Conochilus,0.022903614,,2/19/2018,Katie Cope
5/16/2016,137,16006137002,6,Copepoda,Cyclopoida,14.91086281,,2/19/2018,Katie Cope
5/16/2016,137,16006137002,6,Cladocera,Daphnia,2.567499258,,2/19/2018,Katie Cope
5/16/2016,137,16006137002,6,Rotifera,Keratella.cochlearis,0.009871197,,2/19/2018,Katie Cope
5/16/2016,137,16006137002,6,Rotifera,Keratella.quadrata,0.061761776,,2/19/2018,Katie Cope
5/16/2016,137,16006137002,6,Copepoda,Nauplii,3.887473144,,2/19/2018,Katie Cope
5/16/2016,137,16006137002,6,Rotifera,Polyarthra,0.111256674,,2/19/2018,Katie Cope
5/16/2016,137,16006137002,6,Rotifera,Synchaeta,0.157540886,,2/19/2018,Katie Cope
5/16/2016,137,16011137003,11,Cladocera,Bosmina,43.84334871,,4/7/2018,Ashley Heins
5/16/2016,137,16011137003,11,Copepoda,Cyclopoida,222.8357921,,4/7/2018,Ashley Heins
5/16/2016,137,16011137003,11,Cladocera,Daphnia,469.7102161,,4/7/2018,Ashley Heins
5/16/2016,137,16011137003,11,Rotifera,Keratella.cochlearis,1.83541255,,4/7/2018,Ashley Heins
5/16/2016,137,16011137003,11,Rotifera,Keratella.quadrata,0.850068448,,4/7/2018,Ashley Heins
5/16/2016,137,16011137003,11,Copepoda,Nauplii,10.58551175,,4/7/2018,Ashley Heins
5/16/2016,137,16016137004,16,Cladocera,Alonella,0.050219172,,2/22/2018,Ashley Heins
5/16/2016,137,16016137004,16,Copepoda,Cyclopoida,56.21442372,,2/22/2018,Ashley Heins
5/16/2016,137,16016137004,16,Cladocera,Daphnia,77.31068299,,2/22/2018,Ashley Heins
5/16/2016,137,16016137004,16,Rotifera,Keratella.cochlearis,0.79155529,,2/22/2018,Ashley Heins
5/16/2016,137,16016137004,16,Rotifera,Keratella.quadrata,0.387824204,,2/22/2018,Ashley Heins
5/16/2016,137,16016137004,16,Copepoda,Nauplii,5.021540314,,2/22/2018,Ashley Heins
5/16/2016,137,16016137004,16,Rotifera,Polyarthra,0.263627903,,2/22/2018,Ashley Heins
5/16/2016,137,16031137005,31,Rotifera,Ascomorpha,0.151394097,,6/5/2017,Katie Cope
5/16/2016,137,16031137005,31,Rotifera,Asplanchna,0.486196387,,6/5/2017,Katie Cope
5/16/2016,137,16031137005,31,Rotifera,Asplanchnopus,0.096545818,,6/5/2017,Katie Cope
5/16/2016,137,16031137005,31,Cladocera,Bosmina,35.99674009,,6/5/2017,Katie Cope
5/16/2016,137,16031137005,31,Copepoda,Cyclopoida,65.09299985,,6/5/2017,Katie Cope
5/16/2016,137,16031137005,31,Cladocera,Daphnia,2.994312363,,6/5/2017,Katie Cope
5/16/2016,137,16031137005,31,Rotifera,Keratella.cochlearis,0.035325023,,6/5/2017,Katie Cope
5/16/2016,137,16031137005,31,Rotifera,Polyarthra,0.034613016,,6/5/2017,Katie Cope
5/16/2016,137,16090137006,90,Cladocera,Chydorus,23.23108796,,5/29/2018,Michael Russel
5/16/2016,137,16090137006,90,Copepoda,Cyclopoida,63.171732,,5/29/2018,Michael Russel
5/16/2016,137,16090137006,90,Cladocera,Daphnia,30.18397058,,5/29/2018,Michael Russel
5/16/2016,137,16090137006,90,Rotifera,Keratella.cochlearis,0.365596582,,5/29/2018,Michael Russel
5/16/2016,137,16090137006,90,Copepoda,Nauplii,9.948798618,,5/29/2018,Michael Russel
5/16/2016,137,16090137006,90,Rotifera,Polyarthra,0.193288353,,5/29/2018,Michael Russel
5/16/2016,137,16111137007,111,Rotifera,Asplanchna,10.91520401,,5/15/2018,Emma Califf
5/16/2016,137,16111137007,111,Cladocera,Bosmina,160.1836529,,5/15/2018,Emma Califf
5/16/2016,137,16111137007,111,Cladocera,Daphnia,12.23381246,,5/15/2018,Emma Califf
5/16/2016,137,16111137007,111,Rotifera,Filinia,0.861392193,,5/15/2018,Emma Califf
