Sample ID,Lake ID,Sample Date,Division,Genus,Zooplankton_Biomass (ug/L),Flag,Sample Processed By,Sample Processed Date
17001135002,1,5/15/2017,Rotifera,Asplanchna,48.34471688,,Katie Cope,2/19/2018
17001135002,1,5/15/2017,Cladocera,Bosmina,79.78435612,,Katie Cope,2/19/2018
17001135002,1,5/15/2017,Rotifera,Brachionus,1.188595067,,Katie Cope,2/19/2018
17001135002,1,5/15/2017,Copepoda,Cyclopoida,29.27214327,,Katie Cope,2/19/2018
17001135002,1,5/15/2017,Cladocera,Daphnia,5.184727566,,Katie Cope,2/19/2018
17001135002,1,5/15/2017,Rotifera,Filinia,0.105027262,,Katie Cope,2/19/2018
17001135002,1,5/15/2017,Rotifera,Keratella.cochlearis,0.059267253,,Katie Cope,2/19/2018
17001135002,1,5/15/2017,Rotifera,Keratella.quadrata,1.687546178,,Katie Cope,2/19/2018
17001135002,1,5/15/2017,Copepoda,Nauplii,10.72033287,,Katie Cope,2/19/2018
17001135002,1,5/15/2017,Rotifera,Polyarthra,3.138323291,,Katie Cope,2/19/2018
17001178001,1,6/27/2017,Cladocera,Alonella,0.246948339,,Emma Califf,6/30/2017
17001178001,1,6/27/2017,Cladocera,Bosmina,20.51053507,,Emma Califf,6/30/2017
17001178001,1,6/27/2017,Rotifera,Brachionus,5.542618461,,Emma Califf,6/30/2017
17001178001,1,6/27/2017,Copepoda,Calanoida,98.6671506,,Emma Califf,6/30/2017
17001178001,1,6/27/2017,Cladocera,Ceriodaphnia,41.56277466,,Emma Califf,6/30/2017
17001178001,1,6/27/2017,Cladocera,Chydorus,7.311801718,,Emma Califf,6/30/2017
17001178001,1,6/27/2017,Rotifera,Conochilus,1.889635628,,Emma Califf,6/30/2017
17001178001,1,6/27/2017,Copepoda,Cyclopoida,10.38154368,,Emma Califf,6/30/2017
17001178001,1,6/27/2017,Cladocera,Diaphanosoma,0.74978992,,Emma Califf,6/30/2017
17001178001,1,6/27/2017,Rotifera,Keratella.cochlearis,0.375377605,,Emma Califf,6/30/2017
17001178001,1,6/27/2017,Copepoda,Nauplii,3.589872465,,Emma Califf,6/30/2017
17001227004,1,8/15/2017,Cladocera,Bosmina,2.198744963,,Emma Califf,11/21/2017
17001227004,1,8/15/2017,Cladocera,Ceriodaphnia,41.02173369,,Emma Califf,11/21/2017
17001227004,1,8/15/2017,Copepoda,Cyclopoida,42.93300692,,Emma Califf,11/21/2017
17001227004,1,8/15/2017,Rotifera,Keratella.cochlearis,1.437978432,,Emma Califf,11/21/2017
17001227004,1,8/15/2017,Copepoda,Nauplii,2.12252616,,Emma Califf,11/21/2017
17001227004,1,8/15/2017,Cladocera,Pleuroxus,0.994368632,,Emma Califf,11/21/2017
17001227004,1,8/15/2017,Rotifera,Polyarthra,5.594744226,,Emma Califf,11/21/2017
17002156001,2,6/5/2017,Cladocera,Bosmina,0.60136121,,Katie Cope,1/8/2018
17002156001,2,6/5/2017,Copepoda,Calanoida,50.68113689,,Katie Cope,1/8/2018
17002156001,2,6/5/2017,Cladocera,Chydorus,2.389674916,,Katie Cope,1/8/2018
17002156001,2,6/5/2017,Rotifera,Conochilus,0.26056727,,Katie Cope,1/8/2018
17002156001,2,6/5/2017,Copepoda,Cyclopoida,60.74219858,,Katie Cope,1/8/2018
17002156001,2,6/5/2017,Cladocera,Daphnia,142.0149981,,Katie Cope,1/8/2018
17002156001,2,6/5/2017,Rotifera,Keratella.cochlearis,0.313707094,,Katie Cope,1/8/2018
17002156001,2,6/5/2017,Rotifera,Keratella.quadrata,0.351102852,,Katie Cope,1/8/2018
17002156001,2,6/5/2017,Copepoda,Nauplii,5.384884335,,Katie Cope,1/8/2018
17002205001,2,7/24/2017,Rotifera,Brachionus,0.533985279,,Ashley Heins,11/27/2017
17002205001,2,7/24/2017,Copepoda,Cyclopoida,24.26955451,,Ashley Heins,11/27/2017
17002205001,2,7/24/2017,Rotifera,Filinia,0.06758476,,Ashley Heins,11/27/2017
17002205001,2,7/24/2017,Rotifera,Keratella.cochlearis,0.02731733,,Ashley Heins,11/27/2017
17002205001,2,7/24/2017,Copepoda,Nauplii,4.169561547,,Ashley Heins,11/27/2017
17002205001,2,7/24/2017,Rotifera,Pompholyx,0.088737625,,Ashley Heins,11/27/2017
17002239002,2,8/27/2017,Rotifera,Brachionus,0.967783228,,Elena Sandry,1/19/2018
17002239002,2,8/27/2017,Copepoda,Calanoida,4.812014798,,Elena Sandry,1/19/2018
17002239002,2,8/27/2017,Cladocera,Chydorus,14.69338201,,Elena Sandry,1/19/2018
17002239002,2,8/27/2017,Copepoda,Cyclopoida,22.31693455,,Elena Sandry,1/19/2018
17002239002,2,8/27/2017,Rotifera,Filinia,0.033003514,,Elena Sandry,1/19/2018
17002239002,2,8/27/2017,Rotifera,Keratella.cochlearis,0.059198396,,Elena Sandry,1/19/2018
17002239002,2,8/27/2017,Copepoda,Nauplii,3.663141792,,Elena Sandry,1/19/2018
17002239002,2,8/27/2017,Rotifera,Polyarthra,0.21357822,,Elena Sandry,1/19/2018
17002239002,2,8/27/2017,Rotifera,Pompholyx,0.397826784,,Elena Sandry,1/19/2018
17003171003,3,6/20/2017,Rotifera,Asplanchna,0.379656086,,Emma Califf,6/26/2017
17003171003,3,6/20/2017,Cladocera,Bosmina,1.649763438,,Emma Califf,6/26/2017
